date,equity_backtest,equity_paper,diff,ratio
2024-08-29,61308.092479063314,65466.78326172201,4158.690782658698,1.0678326565792091
2024-08-30,62095.742412529056,66310.18819296877,4214.44578043971,1.067870124692951
2024-08-31,61279.62214554158,65432.07468508022,4152.452539538637,1.0677623717991667
2024-09-01,61279.62214554158,65432.07468508022,4152.452539538637,1.0677623717991667
2024-09-02,61279.62214554158,65432.07468508022,4152.452539538637,1.0677623717991667
2024-09-03,61279.62214554158,65432.07468508022,4152.452539538637,1.0677623717991667
2024-09-04,61279.62214554158,65432.07468508022,4152.452539538637,1.0677623717991667
2024-09-05,61279.62214554158,65432.07468508022,4152.452539538637,1.0677623717991667
2024-09-06,61279.62214554158,65432.07468508022,4152.452539538637,1.0677623717991667
2024-09-07,61279.62214554158,65432.07468508022,4152.452539538637,1.0677623717991667
2024-09-08,61279.62214554158,65432.07468508022,4152.452539538637,1.0677623717991667
2024-09-09,61279.62214554158,65432.07468508022,4152.452539538637,1.0677623717991667
2024-09-10,61279.62214554158,65432.07468508022,4152.452539538637,1.0677623717991667
2024-09-11,61279.62214554158,65432.07468508022,4152.452539538637,1.0677623717991667
2024-09-12,61279.62214554158,65432.07468508022,4152.452539538637,1.0677623717991667
2024-09-13,61279.62214554158,65432.07468508022,4152.452539538637,1.0677623717991667
2024-09-14,61279.62214554158,65432.07468508022,4152.452539538637,1.0677623717991667
2024-09-15,61279.62214554158,65432.07468508022,4152.452539538637,1.0677623717991667
2024-09-16,61279.62214554158,65432.07468508022,4152.452539538637,1.0677623717991667
2024-09-17,61279.62214554158,65432.07468508022,4152.452539538637,1.0677623717991667
2024-09-18,61279.62214554158,65432.07468508022,4152.452539538637,1.0677623717991667
2024-09-19,61279.62214554158,65432.074685080224,4152.4525395386445,1.0677623717991669
2024-09-20,63601.168220822794,67886.14563322769,4284.977412404893,1.0673726211683328
2024-09-21,63739.08184905732,69772.50426188715,6033.42241282983,1.0946581318368813
2024-09-22,62124.182707271335,68897.41412286008,6773.231415588743,1.1090272921175344
2024-09-23,62841.61668902846,69692.66923977813,6851.052550749671,1.1090209468138301
2024-09-24,64475.96597683866,71510.42326940355,7034.457292564883,1.109102007019047
2024-09-25,62889.20173611218,69751.75641556266,6862.554679450477,1.1091213513608627
2024-09-26,65582.96201241396,72756.88016660167,7173.918154187704,1.1093869190115229
2024-09-27,67395.05059986904,75400.0763731967,8005.025773327667,1.1187776506149432
2024-09-28,67004.74047802018,75518.95483787506,8514.214359854886,1.1270688357139125
2024-09-29,66159.55660198026,74727.6819359945,8568.125334014228,1.1295069945157064
2024-09-30,62161.03899525719,70192.83884615963,8031.79985090244,1.1292095495944856
2024-10-01,58731.69114921431,66352.60668361766,7620.91553440335,1.1297581490551938
2024-10-02,58731.69114921431,66352.60668361766,7620.91553440335,1.1297581490551938
2024-10-03,58731.69114921431,66352.60668361766,7620.91553440335,1.1297581490551938
2024-10-04,58731.69114921431,66352.60668361766,7620.91553440335,1.1297581490551938
2024-10-05,58731.69114921431,66352.60668361766,7620.91553440335,1.1297581490551938
2024-10-06,58731.69114921431,66352.60668361766,7620.91553440335,1.1297581490551938
2024-10-07,57661.740054542934,65145.98781352144,7484.247758978505,1.1297957320035619
2024-10-08,56989.25279016775,64391.114240560455,7401.861450392702,1.1298817073044645
2024-10-09,56989.25279016775,64391.114240560455,7401.861450392702,1.1298817073044645
2024-10-10,56989.25279016775,64391.114240560455,7401.861450392702,1.1298817073044645
2024-10-11,56989.25279016775,64391.114240560455,7401.861450392702,1.1298817073044645
2024-10-12,56989.25279016775,64391.114240560455,7401.861450392702,1.1298817073044645
2024-10-13,56989.25279016775,64391.114240560455,7401.861450392702,1.1298817073044645
2024-10-14,56989.25279016775,64391.114240560455,7401.861450392702,1.1298817073044645
2024-10-15,56989.25279016775,64391.114240560455,7401.861450392702,1.1298817073044645
2024-10-16,56989.25279016775,64391.114240560455,7401.861450392702,1.1298817073044645
2024-10-17,56989.25279016775,64391.114240560455,7401.861450392702,1.1298817073044645
2024-10-18,56989.25279016775,64391.114240560455,7401.861450392702,1.1298817073044645
2024-10-19,56989.25279016775,64391.114240560455,7401.861450392702,1.1298817073044645
2024-10-20,56225.80961750846,63537.13976995978,7311.330152451323,1.1300351244773292
2024-10-21,56831.02622588603,64220.98648451979,7389.960258633757,1.1300339048825356
2024-10-22,56288.65068724437,63644.86119913149,7356.210511887119,1.130687277489743
2024-10-23,56589.58314826958,62611.06318739497,6021.480039125388,1.1064061564713878
2024-10-24,57404.65001305397,63514.43284852793,6109.782835473961,1.1064335874199143
2024-10-25,53336.219219951374,59020.65869123118,5684.439471279809,1.1065774731395555
2024-10-26,55488.800326821554,61404.72820890246,5915.927882080905,1.106614809605486
